Index;Code;Description;Unit;HelpText;DataType;DefaultValue;MinValue;MaxValue;Required
0100;;General information;-;;;;;;1
0101;Name;name of the company;-;;;;;;
0102;City;city / country;-;;;;;;
0103;DescripIndustry;description of the industry;-;;;;;;
0104;Branch;branch;-;;;;;;
0105;SubBranch;sub-branch;-;;;;;;
0106;NACE;NACE code;-;;;;;;
0107;SubNACE;NACE code subsector;-;;;;;;
0108;Contact;name of contact person;-;;;;;;
0109;Role;Role of contact person in the company;-;;;;;;
0110;Address;address;-;;;;;;0
0111;Phone;Telephone  No;-;;;;;;
0112;Fax;Fax No;-;;;;;;
0113;Email;E-mail;-;;;;;;
0200;;Statistical and economical data;;;;;;;
0201;NEmployees;number of employees;-;;;;;;
0202;Turnover;annual turnover;M?/year;;;;;;
0203;ProdCost;annual production cost;M?/year;;;;;;
0204;BaseYear;base year for ec. Data;-;;;;;;
0205;Growth;growth rate of the production volume foreseen for the next 5 years;%/year;;;;;;
0206;Independent;Is the company independent ?;yes/no;;;;;24;
0207;OMThermal ;Yearly O&M heat & cold;?/year;;;;;;
0208;OMElectrical;Yearly O&M electrical ;?/year;;;;;365;
0209;;Period of operation;;;;;;;
0210;HPerDayInd;total hours of operation per working day;h/day;;;;;;
0211;NShifts;number of shifts;-;;;;;;
0212;NDaysInd;days of production / operation per year;days;;;;;;
0213;NoProdStart;principal period of holidays or stops for maintenance - start date;;;;;;;
0214;NoProdStop;principal period of holidays or stops for maintenance - end date;;;;;;;
0215;;Information on products;;;;;;;
0216;Product;type of product;-;;;;;;
0217;ProductCode;product's code;-;;;;;;
0218;QProdYear;quantity of product(s) per year;product-units/year;;;;;;
0219;ProdUnit;measurement unit for product quantity;-;;;;;;
0220;TurnoverProd;anual turnover per product;M?/year;;;;;;
C201;NProducts;Number of products;-;;;;;;
C202;HoursInd;Total yearly working hours in industry;-;;;;;;
0300;;Processes description;;;;;;;
0301;Process;process short name;-;;;;;;
0302;UnitOp;unit operation type;-;;;;;;
0303;ProcType;process type;continuous / batch;;;;;;
0304;ProcMed;Product or process medium (water, oil, air, lye ...); ;;;;;24;
0305;PT;typical(final) temperature of the process medium during operation;øC;;;;;;
0306;PTInFlow;inlet temperature of the process medium (before heat recovery);øC;;;;;;
0307;PTStartUp;start-up temperature of process medium after breaks;§C;;;;;24;
0308;VInFlowDay;Daily inflow of process medium;mü;;;;;;
0309;VolProcMed;Volume of the process medium within the equipment or storage;mü;;;;;;
0310;UAProc;Thermal heat loss coefficient of the process;kW/K;;;;;;
0311;;Schedule;;;;;;;
0312;HPerDayProc;hours of process operation per day;hrs/day;;;;;;
0313;NBatch;Number of batches per day;;;;;;;
0314;HBatch;Duration of 1 batch;h ;;;;;;
0315;NDaysProc;days of operation per year;days / year;;;;;;
0316;;Waste heat (heat available for recovery) ;;;;;;;
0317;PTOutFlow;outlet temperature of waste heat flows;øC;;;;;;
0318;PTFinal;final  temperature of waste heat flows;§C;;;;;;
0319;VOutFlow;Daily outflow of process medium;mü;;;;;;
0320;HeatRecOK;can heat be recovered from the outflowing medium ?;(yes/no);;;;;;
0321;;Waste heat recovery for this process;;;;;;;
0322;HeatRecExist;Exists heat from heat  recovery for the process ?;(yes/no);;;;;;
0323;SourceWasteHeat;Source of waste heat;-;;;;;;
