0;NACECode;UnitOp;ProductCode;Product;E_EnergyInt_MIN-PC;E_EnergyInt_MAX-PC;E_EnergyInt_TARG-PC;E_EnergyInt_MIN-T;E_EnergyInt_MAX-T;E_EnergyInt_TARG-T;E_SEC min;E_SEC max;E_SEC_TARG;E_Unit;H_EnergyInt_MIN-PC;H_EnergyInt_MAX-PC;H_EnergyInt_TARG-PC;H_EnergyInt_MIN-T;H_EnergyInt_MAX-T;H_EnergyInt_TARG-T;H_SEC min;H_SEC max;H_SEC_TARG;H_Unit;T_EnergyInt_MIN-PC;T_EnergyInt_MAX-PC;T_EnergyInt_TARG-PC;T_EnergyInt_MIN-T;T_EnergyInt_MAX-T;T_EnergyInt_TARG-T;T_SEC min;T_SEC max;T_SEC_TARG;T_Unit;Comments;YearReference;References;Literature;DataRelevance;TurnoverMin;TurnoverMax;ProductionMin;ProductionMax;ProductionUnit
1;DA15.5;0000;DA010;Milk;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;0.2;;kWh/l;;2001;EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";;;;;;
2;DA15.1;0000;DA090;Canned meat and sousages;;;;;;;;;1000;;;;;;;;;;900;;;;;;;;;;2130;kWh/t;;2001;EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";data for Denmark;;;;;
3;DA15.1;112;DA090;Canned meat and sousages;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";data for Italy;;;;;
4;DA15.1;112;DA090;Canned meat and sousages;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;1,5;0.5;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";data for Italy;;;;;
5;DA15.1;501;DA090;Canned meat and sousages;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";data for Italy;;;;;
6;DA15.1;1701;DA090;Canned meat and sousages;;;;;;;;;;;;;;;;;;;;;;;;;;;100;120;100;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";data for Italy;;;;;
7;DA15.1;106;DA090;Canned meat and sousages;;;;;;;;;;;;;;;;;;;;;;;;;;;5;10;5;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [89, Italian contribution, 2001] 
Italian contribution (2001). ""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication.";data for Italy;;;;;
8;DA15.2;1702;DA100;Fish and shellfish;;;;;;;;;;;;;;;;;;;;;;;;;;;65;87;65;kWh/t;The consumption of energy depends on the installation, the equipment and the fish manufacturing processes that take place. ;2002; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [134, AWARENET, 2002] 
AWARENET (2002). ""Tools for prevention and minimisation of agro-food wastes
generation in European industry (This working draft is no longer available)"", GRD1-
CT-2000-28033.";average;;;;;
9;DA15.2;1703;DA100;Fish and shellfish;;;;;;;;;;;;;;;;;;;;;;;;;;;150;190;150;kWh/t;canning involves heating, cooling, production of ice, drying, evaporation and oil production ;2002; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [134, AWARENET, 2002] 
AWARENET (2002). ""Tools for prevention and minimisation of agro-food wastes
generation in European industry (This working draft is no longer available)"", GRD1-
CT-2000-28033.";average;;;;;
10;DA15.96;101;DA040;Beer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,89;kWh/hl;;2002; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [65, Germany, 2002]
Germany (2002). ""Best Available Techniques Reference Document on the Food and
Milk Industry"", BMU, Hannover University, fdm/tm/65.";German breweries with more than 20 employees;;;;;
11;DA15.96;501;DA040;Beer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,56;kWh/hl;;2002; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries [65, Germany, 2002]
Germany (2002). ""Best Available Techniques Reference Document on the Food and
Milk Industry"", BMU, Hannover University, fdm/tm/65.";German breweries with more than 20 employees;;;;;
12;DA15.3;112;DA020;Tomatoes;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy;;;;;
13;DA15.3;1801;DA020;Tomatoes;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy;;;;;
14;DA15.3;1802;DA020;Tomatoes;;;;;;;;;2.5;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy;;;;;
15;DA15.3;102;DA020;Tomatoes;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy;;;;;
